iter	Passed	Remaining
547	40810	33661
548	40884	33586
549	40996	33542
550	41110	33500
551	41194	33433
552	41277	33365
553	41352	33290
554	41407	33200
555	41478	33122
556	41551	33047
557	41624	32971
558	41820	32992
559	41886	32911
560	41949	32826
561	42023	32751
562	42194	32751
563	42331	32724
564	42437	32673
565	42504	32592
566	42593	32527
567	42729	32498
568	42809	32426
569	42876	32345
570	42938	32260
571	43067	32225
572	43137	32146
573	43189	32053
574	43261	31975
575	43399	31946
576	43476	31873
577	43542	31790
578	43619	31716
579	43733	31669
580	43802	31588
581	43894	31525
582	43955	31439
583	44016	31354
584	44093	31279
585	44204	31230
586	44277	31152
587	44336	31065
588	44406	30986
589	44514	30933
590	44585	30855
591	44679	30792
592	44757	30718
593	44820	30635
594	44896	30559
595	45004	30506
596	45116	30455
597	45218	30397
598	45285	30316
599	45378	30252
600	45455	30177
601	45519	30094
602	45593	30017
603	45672	29943
604	45756	29873
605	45812	29785
606	45896	29715
607	45970	29638
608	46050	29565
609	46128	29491
610	46195	29411
611	46266	29332
612	46357	29266
613	46434	29191
614	46534	29131
615	46607	29054
616	46697	28986
617	46808	28933
618	46870	28849
619	46938	28768
620	47001	28685
621	47085	28614
622	47150	28532
623	47221	28453
624	47284	28370
625	47371	28302
626	47434	28218
627	47516	28146
628	47579	28063
629	47664	27993
630	47756	27927
631	47847	27860
632	47908	27776
633	47960	27687
634	48018	27601
635	48112	27536
636	48179	27455
637	48250	27377
638	48303	27288
639	48392	27220
640	48462	27142
641	48540	27067
642	48602	26984
643	48748	26947
644	48818	26868
645	48891	26791
646	48942	26703
647	48984	26608
648	49060	26533
649	49120	26449
650	49210	26381
651	49277	26301
652	49352	26225
653	49412	26141
654	49464	26053
655	49546	25981
656	49606	25898
657	49673	25818
658	49794	25766
659	49865	25688
660	49933	25608
661	50010	25534
662	50082	25456
663	50137	25370
664	50245	25311
665	50313	25232
666	50381	25152
667	50442	25070
668	50521	24996
669	50572	24908
670	50666	24842
671	50762	24776
672	50834	24699
673	50900	24619
674	50961	24536
675	51036	24461
676	51096	24378
677	51162	24298
678	51218	24213
679	51302	24142
680	51370	24063
681	51439	23985
682	51509	23906
683	51579	23829
684	51649	23751
685	51747	23686
686	51820	23609
687	51911	23541
688	51988	23466
689	52060	23389
690	52130	23311
691	52211	23238
692	52307	23172
693	52371	23091
694	52457	23020
695	52526	22942
696	52591	22862
697	52657	22783
698	52751	22715
699	52815	22635
700	52901	22564
701	52969	22485
702	53048	22411
703	53163	22352
704	53229	22273
705	53306	22198
706	53412	22135
707	53475	22054
708	53529	21970
709	53596	21891
710	53673	21816
711	53762	21746
712	53838	21671
713	53922	21599
714	53986	21519
715	54053	21440
716	54122	21362
717	54218	21294
718	54301	21221
719	54363	21141
720	54429	21062
721	54512	20989
722	54596	20917
723	54718	20859
724	54825	20795
725	54927	20730
726	55046	20670
727	55230	20635
728	55396	20593
729	55522	20535
730	55614	20465
731	55697	20391
732	55825	20334
733	55895	20256
734	55960	20176
735	56041	20101
736	56118	20026
737	56176	19943
738	56237	19862
739	56328	19791
740	56395	19711
741	56458	19631
742	56527	19552
743	56672	19500
